id,sku,name,type,category,price,regular_price,discount_pct,price_txt,on_sale,price_contact,in_stock,stock_label,sale_until,price_verified,variation_count,permalink
2570,"DD","Dây điện nối đèn năng lượng mặt trời dài 2 chân 0.5mm",simple,"Dây nối đèn năng lượng mặt trời",70000,70000,0,"70.000 ₫",false,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/day-dien-noi-den-nang-luong-dai-2-chan-0-5mm/
2572,"DD75","Dây điện nối đèn năng lượng mặt trời dài 2 chân 0.75mm",simple,"Dây nối đèn năng lượng mặt trời",100000,100000,0,"100.000 ₫",false,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/day-dien-noi-den-nang-luong-dai-2-chan-0-75mm/
2574,"DD15","Dây điện nối đèn năng lượng mặt trời dài 2 chân 1.5mm",simple,"Dây nối đèn năng lượng mặt trời",150000,150000,0,"150.000 ₫",false,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/day-dien-noi-den-nang-luong-dai-2-chan-1-5mm/
2577,"DDPT","Dây điện nối đèn năng lượng mặt trời phi thuyền dài 2 chân 1.0mm",simple,"Dây nối đèn năng lượng mặt trời",150000,150000,0,"150.000 ₫",false,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/day-dien-noi-den-phi-thuyen-dai-2-chan-1mm/
5188,"M-BM10W","Đèn Bắt Muỗi Năng Lượng Mặt Trời M-BM10W",simple,"Đèn năng lượng mặt trời ngoài trời",1200000,1700000,29,"1.200.000 ₫",true,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/den-bat-muoi-nang-luong-mat-troi-m-bm10w/
5445,"M-BM20W","Đèn Bắt Muỗi Năng Lượng Mặt Trời M-BM20W",simple,"Đèn năng lượng mặt trời ngoài trời",1680000,2400000,30,"1.680.000 ₫",true,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/den-bat-muoi-nang-luong-mat-troi-m-bm20w/
5204,"M-B100W","Đèn Bulb Năng Lượng Mặt Trời M-B100W",simple,"Đèn năng lượng mặt trời trong nhà",580000,750000,23,"580.000 ₫",true,false,true,"Còn hàng","2026-09-28",true,0,https://maxsolar.vn/den-bulb-nang-luong-mat-troi-m-b100w/
2455,"DBC300W","Đèn đường năng lượng mặt trời bàn chải M-BC 300W Maxsolar",simple,"Đèn năng lượng mặt trời ngoài trời",1480000,2000000,26,"1.480.000 ₫",true,false,true,"Còn hàng","2026-09-23",true,0,https://maxsolar.vn/den-duong-nang-luong-mat-troi-ban-chai-300w/
3772,"DBC300W-1","Đèn đường năng lượng mặt trời bàn chải M-BC 600W Maxsolar",simple,"Đèn đường năng lượng mặt trời",1680000,2156000,22,"1.680.000 ₫",true,false,false,"Hết hàng","2027-12-31",true,0,https://maxsolar.vn/den-duong-nang-luong-mat-troi-ban-chai-600w-maxsolar/
5058,"M-CT1000W","Đèn đường năng lượng mặt trời M-CT1000W",simple,"Đèn năng lượng mặt trời công trình",2200000,3200000,31,"2.200.000 ₫",true,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/den-duong-nang-luong-mat-troi-m-ct1000w/
2518,"DPT400W","Đèn đường năng lượng mặt trời phi thuyền M-PT400 Maxsolar",simple,"Đèn năng lượng mặt trời ngoài trời",1650000,2050000,20,"1.650.000 ₫",true,false,false,"Hết hàng","2027-12-31",true,0,https://maxsolar.vn/den-duong-nang-luong-mat-troi-phi-thuyen-m-pt400/
